prolific_id,participant_id,trial_type,trial_index,image_shown,image_category,like_state,share_state,image_index,scroll_to_bottom,political_affiliation,consented,blame_prescriptive,praise_prescriptive,emotion_prescriptive,poli_prescriptive,gender,age,language,education,employment,party,party_lean,political_ideology,political_follow,rep_id,dem_id,sm_use,sm_use_slider,sm_use_poli,sm_use_poli_slider,sm_post_poli,sm_post_poli_slider,share_why
TEST123,176,social-media-feed,6,Slide249.png,dem_outgroup_blame,,,29,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide273.png,dem_ingroup_praise,,,30,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide16.png,neutral_political,,,31,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide402.png,neutral_political,,,32,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide138.png,neutral_political,,,33,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide166.png,neutral_political,,,34,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide260.png,neutral_political,true,,35,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide157.png,dem_outgroup_blame,,,36,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide224.png,neutral_political,,,37,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide339.png,dem_outgroup_blame,,,38,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide156.png,dem_outgroup_blame,,,39,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide401.png,neutral_political,,,40,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide334.png,dem_ingroup_praise,,,41,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide225.png,neutral_political,,,42,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide327.png,rep_outgroup_blame,,,43,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide299.png,rep_outgroup_blame,,,44,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide1.png,dem_ingroup_praise,,,45,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide355.png,rep_ingroup_praise,,,46,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide5.png,dem_ingroup_praise,,,47,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide366.png,dem_outgroup_blame,,,48,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide340.png,dem_outgroup_blame,,true,49,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide343.png,neutral_political,,,50,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide234.png,rep_ingroup_praise,,,51,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide65.png,dem_ingroup_praise,,,52,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide346.png,neutral_political,,,53,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide33.png,dem_ingroup_praise,,,54,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide521.png,neutral_political,,,55,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide353.png,rep_ingroup_praise,,,56,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide429.png,dem_outgroup_blame,,,57,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide332.png,dem_ingroup_praise,,,58,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide19.png,neutral_political,,,59,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide404.png,neutral_political,,,60,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide148.png,rep_outgroup_blame,true,,61,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide251.png,neutral_political,,,62,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide155.png,dem_ingroup_praise,,,63,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide79.png,neutral_political,,,64,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide575.png,dem_ingroup_praise,,,65,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide389.png,rep_outgroup_blame,,,66,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide320.png,neutral_political,,,67,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide111.png,rep_ingroup_praise,,,68,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide287.png,neutral_political,,,69,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide266.png,rep_outgroup_blame,,,70,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide470.png,neutral_political,,,71,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide326.png,rep_outgroup_blame,,,72,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide44.png,neutral_political,,,73,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide309.png,dem_outgroup_blame,,,74,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide46.png,neutral_political,true,true,75,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide393.png,dem_ingroup_praise,,,76,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide306.png,dem_outgroup_blame,,,77,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide362.png,dem_ingroup_praise,,,78,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide169.png,neutral_political,,,79,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide381.png,rep_ingroup_praise,,,80,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide443.png,rep_ingroup_praise,,,81,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide498.png,neutral_political,,,82,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide50.png,neutral_political,,,83,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide4.png,dem_ingroup_praise,,,84,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide38.png,dem_outgroup_blame,true,,85,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide342.png,neutral_political,,,86,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide160.png,dem_outgroup_blame,,,87,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide63.png,dem_ingroup_praise,,,88,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide323.png,rep_ingroup_praise,,,89,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide638.png,distractor,,,90,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide407.png,neutral_political,,,91,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide168.png,neutral_political,,,92,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide229.png,neutral_political,,,93,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide161.png,neutral_political,true,,94,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide699.png,distractor,,,95,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide347.png,neutral_political,,,96,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide228.png,neutral_political,,,97,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide331.png,dem_ingroup_praise,,,98,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide183.png,dem_ingroup_praise,,,99,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,social-media-feed,6,Slide67.png,dem_outgroup_blame,,true,100,true,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,instructions,7,,,,,,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,survey-html-form,8,,,,,,,republican,,4,3,5,4,,,,,,,,,,,,,,,,,,
TEST123,176,instructions,9,,,,,,,republican,,,,,,,,,,,,,,,,,,,,,,,
TEST123,176,survey-html-form,10,,,,,,,republican,,,,,,female,56,no_fluent,some_high_school,self_employed,,,,,,,,,,,,,
TEST123,176,survey-html-form,11,,,,,,,republican,,,,,,,,,,,,,4,3,4,3,,,,,,,
TEST123,176,survey-html-form,12,,,,,,,republican,,,,,,,,,,,,,,,,,once_per_week,64,4-6_times_a_week,50,2-3_times_a_week,18,make_laugh
