"Var1","Freq","partisan","label"
"Slide44.png",21,"N/A","neutral"
"Slide440.png",21,"N/A","neutral"
"Slide441.png",10,"Republican","ingroup praise"
"Slide442.png",10,"Republican","ingroup praise"
"Slide443.png",10,"Republican","ingroup praise"
"Slide444.png",10,"Republican","ingroup praise"
"Slide445.png",10,"Republican","ingroup praise"
"Slide446.png",10,"Republican","outgroup blame"
"Slide447.png",10,"Republican","outgroup blame"
"Slide448.png",10,"Republican","outgroup blame"
"Slide449.png",10,"Republican","outgroup blame"
"Slide45.png",20,"N/A","neutral"
"Slide450.png",10,"Republican","outgroup blame"
"Slide451.png",10,"Democrat","ingroup praise"
"Slide452.png",11,"Democrat","ingroup praise"
"Slide453.png",11,"Democrat","ingroup praise"
"Slide454.png",11,"Democrat","ingroup praise"
"Slide455.png",10,"Democrat","ingroup praise"
"Slide456.png",11,"Democrat","outgroup blame"
"Slide457.png",11,"Democrat","outgroup blame"
"Slide458.png",10,"Democrat","outgroup blame"
"Slide459.png",10,"Democrat","outgroup blame"
"Slide46.png",22,"N/A","neutral"
"Slide460.png",10,"Democrat","outgroup blame"
"Slide461.png",21,"N/A","neutral"
"Slide462.png",20,"N/A","neutral"
"Slide463.png",21,"N/A","neutral"
"Slide464.png",20,"N/A","neutral"
"Slide465.png",21,"N/A","neutral"
"Slide466.png",21,"N/A","neutral"
"Slide467.png",20,"N/A","neutral"
"Slide468.png",20,"N/A","neutral"
"Slide469.png",20,"N/A","neutral"
"Slide47.png",20,"N/A","neutral"
"Slide470.png",21,"N/A","neutral"
"Slide471.png",10,"Republican","ingroup praise"
"Slide472.png",10,"Republican","ingroup praise"
"Slide473.png",10,"Republican","ingroup praise"
"Slide474.png",10,"Republican","ingroup praise"
"Slide475.png",11,"Republican","ingroup praise"
"Slide476.png",10,"Republican","outgroup blame"
"Slide477.png",10,"Republican","outgroup blame"
"Slide478.png",10,"Republican","outgroup blame"
"Slide479.png",10,"Republican","outgroup blame"
"Slide48.png",20,"N/A","neutral"
"Slide480.png",10,"Republican","outgroup blame"
"Slide481.png",10,"Democrat","ingroup praise"
"Slide482.png",12,"Democrat","ingroup praise"
"Slide483.png",11,"Democrat","ingroup praise"
"Slide484.png",12,"Democrat","ingroup praise"
"Slide485.png",10,"Democrat","ingroup praise"
"Slide486.png",11,"Democrat","outgroup blame"
"Slide487.png",10,"Democrat","outgroup blame"
"Slide488.png",11,"Democrat","outgroup blame"
"Slide489.png",10,"Democrat","outgroup blame"
"Slide49.png",20,"N/A","neutral"
"Slide490.png",11,"Democrat","outgroup blame"
"Slide491.png",20,"N/A","neutral"
"Slide492.png",20,"N/A","neutral"
"Slide493.png",20,"N/A","neutral"
"Slide494.png",20,"N/A","neutral"
"Slide495.png",20,"N/A","neutral"
"Slide496.png",21,"N/A","neutral"
"Slide497.png",22,"N/A","neutral"
"Slide498.png",21,"N/A","neutral"
"Slide499.png",21,"N/A","neutral"
"Slide5.png",11,"Democrat","ingroup praise"
"Slide50.png",20,"N/A","neutral"
"Slide500.png",20,"N/A","neutral"
"Slide501.png",10,"Republican","ingroup praise"
"Slide502.png",10,"Republican","ingroup praise"
"Slide503.png",10,"Republican","ingroup praise"
"Slide504.png",10,"Republican","ingroup praise"
"Slide505.png",10,"Republican","ingroup praise"
"Slide506.png",10,"Republican","outgroup blame"
"Slide507.png",10,"Republican","outgroup blame"
"Slide508.png",10,"Republican","outgroup blame"
"Slide509.png",10,"Republican","outgroup blame"
"Slide51.png",10,"Republican","ingroup praise"
"Slide510.png",10,"Republican","outgroup blame"
"Slide511.png",10,"Democrat","ingroup praise"
"Slide512.png",10,"Democrat","ingroup praise"
"Slide513.png",10,"Democrat","ingroup praise"
"Slide514.png",10,"Democrat","ingroup praise"
"Slide515.png",10,"Democrat","ingroup praise"
"Slide516.png",10,"Democrat","outgroup blame"
"Slide517.png",11,"Democrat","outgroup blame"
